id,prediction
1461,117727.4085732892
1462,157601.5867887453
1463,183518.43761714676
1464,196310.94603347307
1465,190244.9349973242
1466,170230.95809143866
1467,168387.2630100555
1468,170718.02966831194
1469,182992.0581952765
1470,123392.77799807522
1471,178185.614095471
1472,102899.83538879702
1473,106817.26493925933
1474,152955.6334348412
1475,114387.91708155225
1476,334838.1421374032
1477,243635.1660833346
1478,300599.13417097577
1479,301909.78339445876
1480,489026.0512246395
1481,287024.0460930233
1482,209625.6065872621
1483,175543.21457023284
1484,171555.00294086194
1485,190600.86237504185
1486,193297.4478069732
1487,313629.33233311964
1488,224783.65783765438
1489,192096.9604178969
1490,224043.37533106428
1491,191323.50511328044
1492,107083.03671026057
1493,186681.9687683845
1494,266600.0923656433
1495,271985.1745346245
1496,224184.33115337594
1497,175471.76319664597
1498,177373.29707574446
1499,164382.22830940003
1500,165348.15860790547
1501,190308.71849953796
1502,168134.34631768573
1503,260907.6747670089
1504,226875.79060084512
1505,214858.4479245276
1506,188667.20815995976
1507,238760.9804016654
1508,193784.82425410082
1509,155727.88712756854
1510,150219.79788852372
1511,154369.229726322
1512,168433.37820885892
1513,145403.20511686263
1514,160129.52539656562
1515,185913.3783157224
1516,150143.12621822648
1517,161378.29807705755
1518,136327.62486382062
1519,210146.24447745713
1520,134863.6744130948
1521,135367.39578462316
1522,162401.4309892292
1523,117105.78685745444
1524,115817.5832688697
1525,121182.22060712088
1526,116545.21070016442
1527,116339.75283454482
1528,127143.71076322846
1529,148512.30717238484
1530,164876.48561772416
1531,131843.4782241857
1532,97563.18462300376
1533,144168.54316545627
1534,119174.10857325981
1535,145538.41073487652
1536,112442.9632034811
1537,91586.88366026475
1538,154917.73497651896
1539,165024.92336788846
1540,110586.21757430489
1541,131749.9452902507
1542,130158.28103153637
1543,189138.77508495646
1544,99204.9376627854
1545,115994.985277482
1546,139967.1828241569
1547,135791.23170310078
1548,124529.5786247805
1549,121765.69049839929
1550,139413.32854221645
1551,112197.5864293147
1552,139378.98557999986
1553,125225.74504141054
1554,124304.46425546176
1555,171281.23978887888
1556,112707.33662897751
1557,113330.97158912221
1558,116407.12228172572
1559,87308.94278481632
1560,124340.49329838445
1561,132969.34327600393
1562,138617.88971616785
1563,124181.88708779895
1564,162280.31312061255
1565,149963.67466434304
1566,212941.55654841903
1567,94870.79110398263
1568,242367.55620288802
1569,135584.57633031486
1570,143816.97103144138
1571,124103.68553355208
1572,131717.96379222238
1573,222399.16083611257
1574,124250.9678867165
1575,204926.397887475
1576,254819.95920619197
1577,187146.6340872059
1578,137672.28055656274
1579,151263.8892508829
1580,193431.2430298416
1581,151974.8258014535
1582,129599.31279968443
1583,291867.1731186942
1584,216015.04221663988
1585,143458.7757356356
1586,89726.51094491969
1587,113559.07753364298
1588,141376.8104204507
1589,110871.88460886158
1590,136024.878930041
1591,105347.52032313528
1592,125521.8542189955
1593,126689.36647190693
1594,128117.62218906726
1595,109023.76673965258
1596,209139.218575271
1597,191692.90450225942
1598,205110.80429588855
1599,164747.66261331676
1600,172618.66334992088
1601,80641.54930410298
1602,113976.94911247416
1603,77281.09770391913
1604,240016.62512359337
1605,236267.1695613844
1606,174225.1267706673
1607,184292.07122674646
1608,214550.11918336293
1609,187134.81086802584
1610,161347.11054931735
1611,144045.82895801155
1612,184424.58387590531
1613,169691.04305486838
1614,118026.73311941866
1615,98629.80469588387
1616,92899.12655369974
1617,104707.72867267822
1618,135555.31383480362
1619,142879.79713907535
1620,174213.24951758736
1621,142922.81248378157
1622,145336.11655920444
1623,243937.36479786673
1624,211401.0559289987
1625,122339.68786343052
1626,177975.93000363765
1627,188195.66944959143
1628,258293.66004926275
1629,179366.08168344776
1630,320635.9244381044
1631,205363.91658520795
1632,226333.13432833858
1633,178055.9947027178
1634,189952.1694368396
1635,186639.92138740708
1636,166136.17253387114
1637,174923.1535521224
1638,202762.7430809862
1639,178143.42304718678
1640,240367.76273938004
1641,175546.66029643058
1642,236746.7255103264
1643,215634.9351800854
1644,226179.959604282
1645,195517.38702047468
1646,161708.0876678878
1647,160955.75747402682
1648,131408.70557603813
1649,142576.05356039133
1650,131748.1534132381
1651,130979.43488433035
1652,105821.93666872173
1653,106070.97459903486
1654,157119.0404255894
1655,137151.9793704309
1656,150340.71348020894
1657,158938.7190309716
1658,156386.7768403633
1659,122843.03776781313
1660,153830.87688279472
